date;errorcode;nb
30092021;5;433
30092021;100;239
30092021;51;237
30092021;4;174
30092021;53;77
30092021;67;45
30092021;7;44
30092021;57;33
30092021;40;20
30092021;3;19
30092021;56;18
30092021;52;14
30092021;48;5
30092021;35;5
30092021;34;2
30092021;156;2
30092021;14;2
30092021;61;1
30092021;16;1
01102021;0;17278785
01102021;24;459678
01102021;10;400808
01102021;8;20647
01102021;2;18062
01102021;1;14499
01102021;17;11354
01102021;254;10012
01102021;15;7835
01102021;75;2578
01102021;23;846
01102021;5;573
01102021;51;464
01102021;4;184
01102021;7;174
01102021;53;110
01102021;67;94
01102021;100;92
01102021;40;34
01102021;156;28
01102021;57;27
01102021;56;19
01102021;3;9
01102021;52;6
01102021;35;4
01102021;48;2
01102021;34;2
01102021;14;2
01102021;16;1
02102021;0;15726029
02102021;24;731958
02102021;10;416954
02102021;8;26708
02102021;2;15954
02102021;1;12500
02102021;17;11647
02102021;254;9605
02102021;15;7524
02102021;75;2480
02102021;23;829
02102021;5;327
02102021;67;284
02102021;51;249
02102021;53;128
02102021;156;69
02102021;4;64
02102021;57;39
02102021;7;35
02102021;100;32
02102021;56;23
02102021;40;20
02102021;34;13
02102021;52;9
02102021;3;7
02102021;35;6
02102021;155;5
02102021;14;4
02102021;61;2
02102021;48;2
03102021;0;14019472
03102021;24;472687
03102021;10;35917
03102021;8;16867
03102021;2;10976
03102021;1;10687
03102021;17;9014
03102021;254;8736
03102021;15;6309
03102021;75;2777
03102021;23;719
03102021;51;233
03102021;5;116
03102021;67;86
03102021;53;79
03102021;4;79
03102021;56;28
03102021;7;25
03102021;57;22
03102021;100;22
03102021;40;17
03102021;52;12
03102021;3;12
03102021;14;3
03102021;61;2
03102021;34;2
03102021;48;1
04102021;0;15512261
04102021;24;303887
04102021;10;39984
04102021;1;14955
04102021;8;12774
04102021;2;10180
04102021;254;9433
04102021;17;8174
04102021;15;5569
04102021;75;2552
04102021;23;657
04102021;5;552
04102021;40;328
04102021;51;205
04102021;4;162
04102021;67;82
04102021;53;77
04102021;7;44
04102021;57;35
04102021;100;23
04102021;56;17
04102021;3;13
04102021;34;12
04102021;48;7
04102021;52;6
04102021;35;3
04102021;61;1
04102021;218;1
04102021;16;1
05102021;0;15597602
05102021;24;230202
05102021;10;37459
05102021;1;15796
05102021;2;12875
